Carta,Raridade final,Fam?lia,Efeito proposto
Godspeed,?pica,Forma,"Por 4 turnos, o usu?rio age antes do inimigo e ganha um ataque extra se desviar."
gomu gomu no mi,Lend?ria,Forma,"Corpo el?stico: ataques f?sicos ganham alcance, golpes blunt s?o reduzidos e Electric perde parte do efeito contra o usu?rio."
Gon’s Fishing Rod,Incomum,Controle,Puxa o inimigo; remove prioridade dele e prepara b?nus para o pr?ximo golpe f?sico.
gura gura,Lend?ria,Campo,"Racha a arena; Ground e golpes de impacto se fortalecem, enquanto shields se tornam menos eficazes."
Half-Cold Half-Hot,M?tica,Elemento,O usu?rio ganha Fire e Ice ao mesmo tempo e alterna entre press?o ofensiva e controle defensivo.
Hamon Overdrive,Comum,Elemento,O pr?ximo golpe conta como Fire contra inimigos Dark/Ghost e cura levemente o usu?rio se for super efetivo.
Hinokami Kagura,?pica,Postura,Sequ?ncia de formas; cada ataque Fire consecutivo adiciona uma nova propriedade ao pr?ximo.
Hisoka’s Cards,Incomum,Marca,"Arremessa cartas-armadilha; se o inimigo agir duas vezes antes de limpar a marca, sofre puni??o forte."
Hollow Purple,M?tica,Quebra de regra,"Remove shields, clones e barreiras antes de causar aniquila??o baseada no HP atual."
Hyorinmaru,Lend?ria,Campo,"Congela o campo; Ice do usu?rio se fortalece, Water pode congelar e inimigos r?pidos perdem vantagem."
Ice Make,Comum,Invoca??o,Escolha Lance para ganhar prioridade no pr?ximo golpe ou Muralha para absorver parte do pr?ximo dano.
Ignition Gloves,Incomum,Elemento,Ataques Fire do pr?ximo per?odo inflamam alvos j? marcados e explodem marcas existentes.
Instant Transmission,?pica,Controle,"Uma vez por turno durante 3 turnos, o usu?rio pode negar um acerto e reposicionar para contra-atacar."
Inverted Spear of Heaven,?pica,Quebra de regra,"Anula a pr?xima prote??o, buff ou campo do inimigo no momento em que tentaria funcionar."
Jajanken,Comum,Golpe,"Escolha Rock, Paper ou Scissors: dano bruto, prioridade ou quebra de defesa."
Kaioken,?pica,Forma,"Multiplica dano e velocidade por alguns turnos, mas cada turno consome parte do HP m?ximo."
Kakuja Form,?pica,Transforma??o,"Ganha carapa?a, lifesteal e dano crescente; perde acesso a efeitos delicados enquanto durar."
Kamehameha,?pica,Golpe,"Carrega energia; quanto mais turnos esperar, maior o dano e mais dif?cil fica desviar."
Kamish,???,Forma,Assume presen?a drac?nica; todo dano causado aumenta 50% e golpes Fire deixam cicatrizes permanentes.
Kamish’s Wrath,???,Golpe,"Enquanto ativa, cada ataque consecutivo ganha mais 50% de dano que o anterior."
Kasaka’s Venom Fang,?pica,Marca,"Injeta veneno profundo; a cada a??o do alvo, uma carga amadurece at? explodir."
Killua’s Yo-Yos,Incomum,Combo,O primeiro golpe aplica condutividade; o segundo ataque Electric no alvo salta novamente.
Knight Killer,Comum,Golpe,Causa b?nus contra inimigos com defesa elevada ou em forma defensiva.
Kunai trovão,Incomum,Golpe,"Marca uma posi??o; uma vez, o usu?rio pode trocar sua posi??o para evitar dano e contra-atacar."
Kunai,Comum,Golpe,Arremesso r?pido que pode ser usado junto com outra a??o simples no mesmo turno uma vez por batalha.
Kurapika’s Chains,?pica,Controle,"Escolha uma corrente: prender, curar, julgar ou rastrear. Cada uma muda a luta de modo diferente."
Limitless,M?tica,Campo,Cria o Infinito; ataques comuns n?o alcan?am o usu?rio e golpes inevit?veis precisam romper a t?cnica primeiro.
Lostvayne,Lend?ria,C?pia,Cria clones; os pr?ximos ataques do usu?rio s?o repetidos por ecos com dano reduzido.
Mana Zone,?pica,Campo,"Por 4 turnos, ataques Special do usu?rio n?o erram e escolhem o melhor ?ngulo elemental dispon?vel."
Mascara hollow,Lend?ria,Transforma??o,"Forma Hollow por 4 turnos: ataque e defesa dobram, mas o usu?rio perde controle fino e n?o pode usar cartas de suporte."
mera mera,?pica,Elemento,"O usu?rio ganha afinidade Fire; quando Fire vence a tabela elemental, gera chamas persistentes."
Meta Vision,Comum,Controle,"L? o campo: ap?s ver a pr?xima a??o inimiga, o pr?ximo ataque do usu?rio ganha b?nus se explorar a resposta correta."
Metal Vessel,Comum,Elemento,"Ao ativar, escolha um elemento do djinn; o pr?ximo ataque assume esse elemento e ganha pequena vantagem contextual."
Millennium Puzzle,Lend?ria,Destino,"Ao sofrer um efeito de controle, o usu?rio pode trocar para uma persona de duelo que o converte em vantagem."
Mjolnir,Lend?ria,Golpe,Atrai tempestade; Electric ganha grande amplifica??o e o primeiro alvo atingido fica atordoado.
Murasame,Lend?ria,Marca,Maldiz o alvo; cada dano recebido empilha morte at? liberar execu??o abaixo de 35% HP.
nichirin,Comum,Elemento,"O pr?ximo golpe vira Fire; contra inimigos regenerativos, impede cura no pr?ximo turno."
ODM Gear,Incomum,Postura,"Por 3 turnos, o usu?rio ganha evas?o extra contra ataques terrestres e b?nus contra alvos gigantes."
One For All Smash,?pica,Golpe,"Converte toda a for?a acumulada em um golpe; quanto maior a sequ?ncia de turnos ativos, maior o impacto."
Ora Barrage,Comum,Golpe,Cada acerto consecutivo no mesmo alvo aumenta levemente o dano do pr?ximo uso.
Orb of Avarice,?pica,Destino,"Rouba um buff ativo do inimigo e o converte em cura, escudo ou dano ? escolha."
Papel explosivo,Comum,Marca,Planta um selo; ele explode automaticamente quando o inimigo usar uma habilidade Special.
Philosopher’s Stone,Lend?ria,Destino,"Converte qualquer custo em energia vital; cura, remove debuffs e pode manter uma forma ativa por mais tempo."
Playful Cloud,?pica,Golpe,Dano escala com os atributos brutos do usu?rio; ignora b?nus de arma e efeitos m?gicos.
Potara Earrings,Lend?ria,Transforma??o,Fus?o tempor?ria: combina os melhores atributos do usu?rio e de uma carta equipada por 5 turnos.
Power Pole,Incomum,Golpe,"Ignora dist?ncia e barreiras leves; se o alvo estiver em campo alterado, empurra-o para fora por 1 turno."
Predator Eye,Comum,Controle,Revela a pr?xima a??o inimiga e aumenta o dano do usu?rio se ele responder com o tipo certo.
Prison Realm,?pica,Controle,Sela o inimigo por 1 turno completo e pausa a dura??o de buffs dele enquanto estiver preso.
Puppet naruto,Comum,Invoca??o,Cria uma marionete que absorve o pr?ximo golpe direto e ent?o desaparece.
Quick Attack,Comum,Golpe,Garante que o usu?rio aja primeiro no pr?ximo turno.
Quinque,Comum,Golpe,Ignora parte da defesa de alvos transformados ou monstruosos.
Requiem Arrow,M?tica,Destino,"Evolui uma carta j? ativa para sua forma absurda, alterando seu efeito central por toda a luta."
Requiem,???,Destino,"Subjulga o inimigo; ele perde 5%, depois 10%, depois 15% do HP m?ximo e assim por diante a cada rodada."
Return by Death,???,Destino,"Ao morrer, retorna ao in?cio do turno anterior com HP cheio e conserva a informa??o da tentativa falha."
Rhitta,Lend?ria,Campo,"Quanto mais longa a luta, mais o usu?rio cresce sob o Sol; em campo solar atinge seu auge instantaneamente."
Rinkaku Kagune,Comum,Postura,"Por 3 turnos, o usu?rio regenera um pouco de HP sempre que acerta golpes f?sicos."
Ruler’s Authority,Comum,Controle,Puxa o inimigo para o ch?o; Flying perde imunidade a Ground por 2 turnos.
samehada,Lend?ria,Roubo,Cada golpe drena energia/PP do alvo e alimenta cura ou buffs do usu?rio.
Scouter,Incomum,Controle,"Revela HP exato, buffs e fraqueza elemental; o pr?ximo ataque explora a melhor delas."
Sekki,Comum,Elemento,O pr?ximo ataque vira Ghost e ganha b?nus se o inimigo tiver qualquer marca ativa.
Senbonzakura,Lend?ria,Campo,Cria um mar de l?minas; todo turno o alvo sofre cortes extras se tentar agir ou se mover.
Senzu Bean,?pica,Destino,"Restaura completamente o HP e remove fadiga, mas s? pode ser usada uma vez por batalha."
Shadow Extraction,?pica,Invoca??o,"Ao derrotar um inimigo, cria uma sombra que repete parte do ?ltimo ataque por batalhas futuras limitadas."
Sharingan,?pica,C?pia,Copia a ?ltima habilidade usada pelo inimigo e permite us?-la uma vez ignorando requisito elemental.
Skull Knight Sword,Rara,Destino,Golpes contra alvos marcados ignoram cura e podem abrir uma fenda de execu??o abaixo de 20% HP.
Soul Resonance,Comum,Combo,"Se usada depois de outra carta no turno anterior, duplica o efeito secund?rio daquela carta."
Spirit Gun,M?tica,Golpe,"Disparo espiritual que ignora defesa, barreiras e parte da redu??o de dano de boss."
Split Soul Katana,?pica,Quebra de regra,Golpes ignoram defesa f?sica e dano reduzido por armadura por 3 turnos.
Staff of Frieren,Comum,Elemento,O pr?ximo ataque Special escolhe entre tr?s elementos b?sicos ao ser lan?ado.
Stand Arrow,Lend?ria,Destino,"Concede um Stand aleat?rio de alto impacto com pap?is diferentes: ataque, defesa, suporte ou execu??o."
State Alchemist Watch,Incomum,Combo,"Se uma carta elemental for usada logo depois, reduz seu custo e amplia sua dura??o."
Stealth,Comum,Postura,O pr?ximo ataque do usu?rio n?o pode ser alvo de counter nem de rea??o.
Steel Balls,Comum,Marca,Aplica Spin; ataques posteriores reduzem levemente evas?o e defesa do alvo.
Stone Mask,Lend?ria,Transforma??o,"Forma vamp?rica: lifesteal global, resist?ncia f?sica e fraqueza ampliada a Fire e Sol."
Survey Corps cloak,Comum,Postura,"Contra inimigos maiores ou bosses, o usu?rio ganha evas?o no primeiro turno."
Ten Shadows,?pica,Invoca??o,Escolha uma sombra para invocar; cada criatura oferece uma fun??o t?tica distinta.
tensa zanguetsu,Lend?ria,Forma,"Bankai: extrema velocidade, acertos em sequ?ncia e redu??o dr?stica do tempo de resposta inimigo."
Thunder Spears,Incomum,Marca,"Crava explosivos; quando o alvo sofrer dano Ground ou Steel, as lan?as detonam."
Thunderclap and Flash,?pica,Golpe,"Avan?a instantaneamente; se o usu?rio agir primeiro, o golpe recebe multiplicador alto."
Time Stop,???,Quebra de regra,"Por 5 turnos do usu?rio, s? ele age; ao fim, todo dano acumulado se resolve de uma vez."
Titan serum,M?tica,Transforma??o,"Transforma o usu?rio em Tit? por 4 turnos: HP dobra, ataques viram Ground e todos os golpes causam impacto amplo."
Titan Shift,?pica,Transforma??o,"Forma Tit? parcial por 3 turnos: dano f?sico sobe muito, mas ataques Special ficam bloqueados."
Ultra Instinct,Lend?ria,Forma,"Por 4 turnos, desvia automaticamente de ataques diretos e cada esquiva gera contra-golpe crescente."
Ultrahard Steel Blades,Incomum,Golpe,"Por 3 ataques, cortes ignoram parte da defesa e causam b?nus contra criaturas enormes."
Unlimited Blade Works,M?tica,Campo,Projeta um mundo de espadas; o usu?rio passa a escolher armas lend?rias conforme a necessidade de cada turno.
Volundr,Lend?ria,Transforma??o,Escolha uma arma divina; ela herda o estilo do usu?rio e adiciona uma regra nova ao combate.
Water Breathing,Comum,Elemento,"O pr?ximo corte vira Water; se for super efetivo, gera um segundo corte reduzido."
Z Sword,Lend?ria,Postura,"Libera potencial oculto; por 5 turnos, atributos ofensivos escalam acima do limite normal."
Zoltraak,M?tica,Quebra de regra,Magia anti-humana perfeita: ignora defesa m?gica e torna magias inimigas mais f?ceis de ler e punir.
