slug,carta,anime,raridade,categoria,habilidade,o_que_faz,custo_moedas,custo_diamantes,nivel_minimo
cruel-sun,Cruel Sun,Seven Deadly Sins,epic,habilidade,Ativar Cruel Sun,Causa 80 de dano e aplica burn.,400,200,7
cursed-speech,Cursed Speech,Jujutsu Kaisen,epic,armamento,Ativar Cursed Speech,Causa 80 de dano e aplica curse.,400,200,7
dark-magician,Dark Magician,Yu-Gi-Oh!,common,armamento,Ativar Dark Magician,Causa 20 de dano e aplica curse.,50,25,1
dark-shadow,Dark Shadow,My Hero Academia,rare,armamento,Ativar Dark Shadow,Causa 55 de dano e aplica curse.,200,100,4
death-scythe,Death Scythe,Soul Eater,legendary,armamento,Legado: Death Scythe,Habilidade unica de Death Scythe. Reservada para efeitos especiais de batalha.,700,350,10
demon-sword-ragnarok,Demon Sword Ragnarok,Soul Eater,legendary,armamento,Legado: Demon Sword Ragnarok,Habilidade unica de Demon Sword Ragnarok. Reservada para efeitos especiais de batalha.,700,350,10
dimension-slash,Dimension Slash,Black Clover,epic,habilidade,Ativar Dimension Slash,Causa 80 de dano e aplica focus.,400,200,7
direct-shot,Direct Shot,Blue Lock,common,habilidade,Ativar Direct Shot,Causa 20 de dano e aplica focus.,50,25,1
disaster,Disaster,Seven Deadly Sins,common,armamento,Ativar Disaster,Causa 20 de dano e aplica focus.,50,25,1
domain-expansion,Domain Expansion,Jujutsu Kaisen,mythic,habilidade,Legado: Domain Expansion,Habilidade unica de Domain Expansion. Reservada para efeitos especiais de batalha.,1000,500,14
dragon-balls,Dragon Balls,Dragon Ball,mythic,colecao,Legado: Dragon Balls,Habilidade unica de Dragon Balls. Reservada para efeitos especiais de batalha.,1000,500,14
dragon-cleave,Dragon Cleave,Hunter x Hunter,rare,armamento,Ativar Dragon Cleave,Causa 55 de dano e aplica focus.,200,100,4
dragon-force,Dragon Force,Fairy Tail,epic,habilidade,Ativar Dragon Force,Causa 80 de dano e aplica focus.,400,200,7
dragon-lacrima,Dragon Lacrima,Fairy Tail,rare,colecao,Ativar Dragon Lacrima,Causa 55 de dano e aplica focus.,200,100,4
dragon-of-the-darkness-flame,Dragon of the Darkness Flame,Yu Yu Hakusho,mythic,armamento,Legado: Dragon of the Darkness Flame,Habilidade unica de Dragon of the Darkness Flame. Reservada para efeitos especiais de batalha.,1000,500,14
dragon-slayer,Dragon Slayer,Berserk,legendary,armamento,Legado: Dragon Slayer,Habilidade unica de Dragon Slayer. Reservada para efeitos especiais de batalha.,700,350,10
enma,enma,One Piece,common,armamento,Ativar enma,Causa 20 de dano e aplica focus.,50,25,1
enuma-elish,Enuma Elish,Fate,unknown,armamento,Legado: Enuma Elish,Habilidade unica de Enuma Elish. Reservada para efeitos especiais de batalha.,1500,750,18
equivalent-exchange,Equivalent Exchange,Fullmetal Alchemist,epic,habilidade,Ativar Equivalent Exchange,Causa 80 de dano e aplica focus.,400,200,7
erasure,Erasure,My Hero Academia,common,armamento,Ativar Erasure,Causa 20 de dano e aplica focus.,50,25,1
erzas-armors,Erza’s Armors,Fairy Tail,rare,colecao,Ativar Erza’s Armors,Causa 55 de dano e aplica focus.,200,100,4
excalibur,Excalibur,Fate,mythic,armamento,Legado: Excalibur,Habilidade unica de Excalibur. Reservada para efeitos especiais de batalha.,1000,500,14
explosion-rush,Explosion Rush,My Hero Academia,common,armamento,Ativar Explosion Rush,Causa 20 de dano e aplica focus.,50,25,1
fairy-tail-mark,Fairy Tail Mark,Fairy Tail,common,colecao,Ativar Fairy Tail Mark,Causa 20 de dano e aplica focus.,50,25,1
final-flash,Final Flash,Dragon Ball,epic,habilidade,Ativar Final Flash,Causa 80 de dano e aplica burn.,400,200,7
fire-dragon-roar,Fire Dragon Roar,Fairy Tail,epic,armamento,Ativar Fire Dragon Roar,Causa 80 de dano e aplica burn.,400,200,7
flame-alchemy,Flame Alchemy,Fullmetal Alchemist,epic,habilidade,Ativar Flame Alchemy,Causa 80 de dano e aplica burn.,400,200,7
foice-tripla,foice tripla,Anime,common,armamento,Ativar foice tripla,Causa 20 de dano e aplica freeze.,50,25,1
full-counter,Full Counter,Seven Deadly Sins,epic,habilidade,Ativar Full Counter,Causa 80 de dano e aplica focus.,400,200,7
geass-eye,Geass Eye,Code Geass,unknown,habilidade,Legado: Geass Eye,Habilidade unica de Geass Eye. Reservada para efeitos especiais de batalha.,1500,750,18
gideon,Gideon,Seven Deadly Sins,legendary,armamento,Legado: Gideon,Habilidade unica de Gideon. Reservada para efeitos especiais de batalha.,700,350,10
godspeed,Godspeed,Hunter x Hunter,epic,habilidade,Ativar Godspeed,Causa 80 de dano e aplica shock.,400,200,7
gomu-gomu-no-mi,gomu gomu no mi,One Piece,common,armamento,Ativar gomu gomu no mi,Causa 20 de dano e aplica focus.,50,25,1
gons-fishing-rod,Gon’s Fishing Rod,Hunter x Hunter,uncommon,armamento,Ativar Gon’s Fishing Rod,Causa 35 de dano e aplica focus.,130,65,2
gura-gura,gura gura,One Piece,common,armamento,Ativar gura gura,Causa 20 de dano e aplica focus.,50,25,1
half-cold-half-hot,Half-Cold Half-Hot,My Hero Academia,common,armamento,Ativar Half-Cold Half-Hot,Causa 20 de dano e aplica freeze.,50,25,1
hamon-overdrive,Hamon Overdrive,JoJo,common,armamento,Ativar Hamon Overdrive,Causa 20 de dano e aplica focus.,50,25,1
hinokami-kagura,Hinokami Kagura,One Piece,epic,armamento,Ativar Hinokami Kagura,Causa 80 de dano e aplica focus.,400,200,7
hisokas-cards,Hisoka’s Cards,Hunter x Hunter,uncommon,armamento,Ativar Hisoka’s Cards,Causa 35 de dano e aplica focus.,130,65,2
hollow-purple,Hollow Purple,Jujutsu Kaisen,mythic,armamento,Legado: Hollow Purple,Habilidade unica de Hollow Purple. Reservada para efeitos especiais de batalha.,1000,500,14
hyorinmaru,Hyorinmaru,Bleach,legendary,armamento,Legado: Hyorinmaru,Habilidade unica de Hyorinmaru. Reservada para efeitos especiais de batalha.,700,350,10
ice-make,Ice Make,Fairy Tail,common,habilidade,Ativar Ice Make,Causa 20 de dano e aplica freeze.,50,25,1
ignition-gloves,Ignition Gloves,Anime,uncommon,armamento,Ativar Ignition Gloves,Causa 35 de dano e aplica focus.,130,65,2
instant-transmission,Instant Transmission,Dragon Ball,common,armamento,Ativar Instant Transmission,Causa 20 de dano e aplica focus.,50,25,1
inverted-spear-of-heaven,Inverted Spear of Heaven,Jujutsu Kaisen,epic,armamento,Ativar Inverted Spear of Heaven,Causa 80 de dano e aplica focus.,400,200,7
jajanken,Jajanken,Hunter x Hunter,common,habilidade,Ativar Jajanken,Causa 20 de dano e aplica focus.,50,25,1
kaioken,Kaioken,Dragon Ball,epic,habilidade,Ativar Kaioken,Causa 80 de dano e aplica focus.,400,200,7
kakuja-form,Kakuja Form,Tokyo Ghoul,epic,armamento,Ativar Kakuja Form,Causa 80 de dano e aplica focus.,400,200,7
kamehameha,Kamehameha,Dragon Ball,epic,habilidade,Ativar Kamehameha,Causa 80 de dano e aplica burn.,400,200,7
kamish,Kamish,Solo Leveling,unknown,armamento,Legado: Kamish,Habilidade unica de Kamish. Reservada para efeitos especiais de batalha.,1500,750,18
kamishs-wrath,Kamish’s Wrath,Solo Leveling,unknown,armamento,Legado: Kamish’s Wrath,Habilidade unica de Kamish’s Wrath. Reservada para efeitos especiais de batalha.,1500,750,18
kasakas-venom-fang,Kasaka’s Venom Fang,Solo Leveling,epic,armamento,Ativar Kasaka’s Venom Fang,Causa 80 de dano e aplica focus.,400,200,7
killuas-yo-yos,Killua’s Yo-Yos,Hunter x Hunter,uncommon,armamento,Ativar Killua’s Yo-Yos,Causa 35 de dano e aplica shock.,130,65,2
knight-killer,Knight Killer,Solo Leveling,common,armamento,Ativar Knight Killer,Causa 20 de dano e aplica focus.,50,25,1
kunai-trovao,Kunai trovão,Naruto,uncommon,armamento,Ativar Kunai trovão,Causa 35 de dano e aplica bleed.,130,65,2
kunai,Kunai,Naruto,uncommon,armamento,Ativar Kunai,Causa 35 de dano e aplica bleed.,130,65,2
kurapikas-chains,Kurapika’s Chains,Hunter x Hunter,common,armamento,Ativar Kurapika’s Chains,Causa 20 de dano e aplica focus.,50,25,1
limitless,Limitless,Jujutsu Kaisen,mythic,armamento,Legado: Limitless,Habilidade unica de Limitless. Reservada para efeitos especiais de batalha.,1000,500,14
lostvayne,Lostvayne,Seven Deadly Sins,legendary,armamento,Legado: Lostvayne,Habilidade unica de Lostvayne. Reservada para efeitos especiais de batalha.,700,350,10
mana-zone,Mana Zone,Black Clover,common,armamento,Ativar Mana Zone,Causa 20 de dano e aplica focus.,50,25,1
mascara-hollow,Mascara hollow,Bleach,rare,colecao,Ativar Mascara hollow,Causa 55 de dano e aplica curse.,200,100,4
mera-mera,mera mera,One Piece,common,armamento,Ativar mera mera,Causa 20 de dano e aplica focus.,50,25,1
meta-vision,Meta Vision,Blue Lock,common,habilidade,Ativar Meta Vision,Causa 20 de dano e aplica focus.,50,25,1
metal-vessel,Metal Vessel,Magi,common,colecao,Ativar Metal Vessel,Causa 20 de dano e aplica focus.,50,25,1
millennium-puzzle,Millennium Puzzle,Yu-Gi-Oh!,common,colecao,Ativar Millennium Puzzle,Causa 20 de dano e aplica focus.,50,25,1
mjolnir,Mjolnir,Record of Ragnarok,legendary,armamento,Legado: Mjolnir,Habilidade unica de Mjolnir. Reservada para efeitos especiais de batalha.,700,350,10
murasame,Murasame,Akame ga Kill,legendary,armamento,Legado: Murasame,Habilidade unica de Murasame. Reservada para efeitos especiais de batalha.,700,350,10
nichirin,nichirin,Demon Slayer,common,armamento,Ativar nichirin,Causa 20 de dano e aplica focus.,50,25,1
odm-gear,ODM Gear,Attack on Titan,uncommon,colecao,Ativar ODM Gear,Causa 35 de dano e aplica focus.,130,65,2
one-for-all-smash,One For All Smash,My Hero Academia,epic,armamento,Ativar One For All Smash,Causa 80 de dano e aplica focus.,400,200,7
ora-barrage,Ora Barrage,JoJo,common,armamento,Ativar Ora Barrage,Causa 20 de dano e aplica focus.,50,25,1
orb-of-avarice,Orb of Avarice,Solo Leveling,epic,armamento,Ativar Orb of Avarice,Causa 80 de dano e aplica freeze.,400,200,7
papel-explosivo,Papel explosivo,Naruto,uncommon,armamento,Ativar Papel explosivo,Causa 35 de dano e aplica focus.,130,65,2
philosophers-stone,Philosopher’s Stone,Fullmetal Alchemist,legendary,colecao,Legado: Philosopher’s Stone,Habilidade unica de Philosopher’s Stone. Reservada para efeitos especiais de batalha.,700,350,10
playful-cloud,Playful Cloud,Jujutsu Kaisen,epic,armamento,Ativar Playful Cloud,Causa 80 de dano e aplica focus.,400,200,7
potara-earrings,Potara Earrings,Dragon Ball,legendary,colecao,Legado: Potara Earrings,Habilidade unica de Potara Earrings. Reservada para efeitos especiais de batalha.,700,350,10
power-pole,Power Pole,Dragon Ball,uncommon,armamento,Ativar Power Pole,Causa 35 de dano e aplica focus.,130,65,2
predator-eye,Predator Eye,Blue Lock,common,armamento,Ativar Predator Eye,Causa 20 de dano e aplica focus.,50,25,1
prison-realm,Prison Realm,Jujutsu Kaisen,epic,armamento,Ativar Prison Realm,Causa 80 de dano e aplica focus.,400,200,7
puppet-naruto,Puppet naruto,Naruto,common,armamento,Ativar Puppet naruto,Causa 20 de dano e aplica focus.,50,25,1
quick-attack,Quick Attack,Haikyuu!!,common,armamento,Ativar Quick Attack,Causa 20 de dano e aplica focus.,50,25,1
quinque,Quinque,Tokyo Ghoul,common,armamento,Ativar Quinque,Causa 20 de dano e aplica focus.,50,25,1
requiem-arrow,Requiem Arrow,JoJo,mythic,colecao,Legado: Requiem Arrow,Habilidade unica de Requiem Arrow. Reservada para efeitos especiais de batalha.,1000,500,14
requiem,Requiem,JoJo,unknown,armamento,Legado: Requiem,Habilidade unica de Requiem. Reservada para efeitos especiais de batalha.,1500,750,18
return-by-death,Return by Death,Re:Zero,unknown,armamento,Legado: Return by Death,Habilidade unica de Return by Death. Reservada para efeitos especiais de batalha.,1500,750,18
rhitta,Rhitta,Seven Deadly Sins,legendary,armamento,Legado: Rhitta,Habilidade unica de Rhitta. Reservada para efeitos especiais de batalha.,700,350,10
rinkaku-kagune,Rinkaku Kagune,Tokyo Ghoul,common,armamento,Ativar Rinkaku Kagune,Causa 20 de dano e aplica focus.,50,25,1
rulers-authority,Ruler’s Authority,Solo Leveling,common,habilidade,Ativar Ruler’s Authority,Causa 20 de dano e aplica focus.,50,25,1
samehada,samehada,Naruto,common,armamento,Ativar samehada,Causa 20 de dano e aplica focus.,50,25,1
scouter,Scouter,Dragon Ball,uncommon,colecao,Ativar Scouter,Causa 35 de dano e aplica focus.,130,65,2
sekki,Sekki,Noragami,common,armamento,Ativar Sekki,Causa 20 de dano e aplica focus.,50,25,1
senbonzakura,Senbonzakura,Bleach,legendary,armamento,Legado: Senbonzakura,Habilidade unica de Senbonzakura. Reservada para efeitos especiais de batalha.,700,350,10
senzu-bean,Senzu Bean,Dragon Ball,uncommon,colecao,Ativar Senzu Bean,Causa 35 de dano e aplica heal.,130,65,2
shadow-extraction,Shadow Extraction,Solo Leveling,epic,habilidade,Ativar Shadow Extraction,Causa 80 de dano e aplica curse.,400,200,7
sharingan,Sharingan,Naruto,common,armamento,Ativar Sharingan,Causa 20 de dano e aplica focus.,50,25,1
skull-knight-sword,Skull Knight Sword,Berserk,rare,armamento,Ativar Skull Knight Sword,Causa 55 de dano e aplica bleed.,200,100,4
soul-resonance,Soul Resonance,Soul Eater,common,habilidade,Ativar Soul Resonance,Causa 20 de dano e aplica focus.,50,25,1
spirit-gun,Spirit Gun,Yu Yu Hakusho,mythic,armamento,Legado: Spirit Gun,Habilidade unica de Spirit Gun. Reservada para efeitos especiais de batalha.,1000,500,14
split-soul-katana,Split Soul Katana,Jujutsu Kaisen,epic,armamento,Ativar Split Soul Katana,Causa 80 de dano e aplica bleed.,400,200,7
staff-of-frieren,Staff of Frieren,Frieren,common,armamento,Ativar Staff of Frieren,Causa 20 de dano e aplica freeze.,50,25,1
stand-arrow,Stand Arrow,JoJo,legendary,colecao,Legado: Stand Arrow,Habilidade unica de Stand Arrow. Reservada para efeitos especiais de batalha.,700,350,10
state-alchemist-watch,State Alchemist Watch,Fullmetal Alchemist,uncommon,colecao,Ativar State Alchemist Watch,Causa 35 de dano e aplica focus.,130,65,2
stealth,Stealth,Solo Leveling,common,habilidade,Ativar Stealth,Causa 20 de dano e aplica focus.,50,25,1
steel-balls,Steel Balls,JoJo,common,colecao,Ativar Steel Balls,Causa 20 de dano e aplica focus.,50,25,1
stone-mask,Stone Mask,JoJo,legendary,colecao,Legado: Stone Mask,Habilidade unica de Stone Mask. Reservada para efeitos especiais de batalha.,700,350,10
survey-corps-cloak,Survey Corps cloak,Attack on Titan,common,colecao,Ativar Survey Corps cloak,Causa 20 de dano e aplica focus.,50,25,1
ten-shadows,Ten Shadows,Jujutsu Kaisen,epic,armamento,Ativar Ten Shadows,Causa 80 de dano e aplica curse.,400,200,7
tensa-zanguetsu,tensa zanguetsu,Bleach,legendary,armamento,Legado: tensa zanguetsu,Habilidade unica de tensa zanguetsu. Reservada para efeitos especiais de batalha.,700,350,10
thunder-spears,Thunder Spears,Attack on Titan,uncommon,armamento,Ativar Thunder Spears,Causa 35 de dano e aplica shock.,130,65,2
thunderclap-and-flash,Thunderclap and Flash,Demon Slayer,epic,habilidade,Ativar Thunderclap and Flash,Causa 80 de dano e aplica shock.,400,200,7
time-stop,Time Stop,JoJo,unknown,habilidade,Legado: Time Stop,Habilidade unica de Time Stop. Reservada para efeitos especiais de batalha.,1500,750,18
titan-serum,Titan serum,Attack on Titan,common,colecao,Ativar Titan serum,Causa 20 de dano e aplica focus.,50,25,1
titan-shift,Titan Shift,Attack on Titan,common,habilidade,Ativar Titan Shift,Causa 20 de dano e aplica focus.,50,25,1
ultra-instinct,Ultra Instinct,Dragon Ball,unknown,habilidade,Legado: Ultra Instinct,Habilidade unica de Ultra Instinct. Reservada para efeitos especiais de batalha.,1500,750,18
ultrahard-steel-blades,Ultrahard Steel Blades,Attack on Titan,uncommon,armamento,Ativar Ultrahard Steel Blades,Causa 35 de dano e aplica bleed.,130,65,2
unlimited-blade-works,Unlimited Blade Works,Fate,mythic,armamento,Legado: Unlimited Blade Works,Habilidade unica de Unlimited Blade Works. Reservada para efeitos especiais de batalha.,1000,500,14
volundr,Volundr,Fate,legendary,armamento,Legado: Volundr,Habilidade unica de Volundr. Reservada para efeitos especiais de batalha.,700,350,10
water-breathing,Water Breathing,Demon Slayer,common,habilidade,Ativar Water Breathing,Causa 20 de dano e aplica focus.,50,25,1
z-sword,Z Sword,Dragon Ball,legendary,armamento,Legado: Z Sword,Habilidade unica de Z Sword. Reservada para efeitos especiais de batalha.,700,350,10
zoltraak,Zoltraak,Frieren,mythic,habilidade,Legado: Zoltraak,Habilidade unica de Zoltraak. Reservada para efeitos especiais de batalha.,1000,500,14
